gameid,playouts,playerindex,wondername,boardGold,CIVIL,MILITARY,SCIENCE,TRADE,GUILD,WONDER,GOLD
242,40,2,EphesosA,6,21,-4,10,0,0,10,2
114,20,1,AlexandriaA,5,35,-5,4,2,7,10,1
114,20,0,EphesosB,19,14,12,4,5,5,2,6
114,20,2,RhodosB,8,2,11,17,1,0,3,2
289,40,1,AlexandriaB,6,38,-4,13,0,2,0,2
289,40,0,RhodosA,7,0,10,16,1,1,10,2
289,40,2,EphesosA,10,7,12,2,0,1,10,3
162,20,0,RhodosA,15,16,13,0,1,13,3,5
162,20,2,AlexandriaA,6,14,-6,16,0,3,10,2
162,20,1,EphesosB,4,12,7,2,2,0,10,1
290,40,1,AlexandriaA,6,11,5,5,0,12,10,2
290,40,2,RhodosA,4,16,15,1,1,0,3,1
290,40,0,GizahA,13,5,-2,5,5,9,8,4
243,40,2,AlexandriaA,12,20,9,4,3,4,10,4
243,40,1,EphesosB,18,24,-6,10,3,0,10,6
243,40,0,RhodosB,12,7,13,13,3,0,7,4
27,10,1,AlexandriaA,4,14,14,13,0,0,10,1
27,10,2,EphesosB,5,15,8,5,0,5,10,1
27,10,0,GizahA,9,21,-4,13,0,5,0,3
205,40,2,GizahB,7,31,11,4,1,4,3,2
205,40,1,EphesosA,3,13,10,9,0,0,10,1
205,40,0,RhodosA,30,8,-3,16,3,4,3,10
153,20,0,RhodosA,22,17,0,2,4,16,0,7
153,20,2,GizahB,5,19,0,18,1,0,3,1
153,20,1,EphesosA,3,11,18,5,1,0,3,1
28,10,1,AlexandriaB,2,2,16,18,0,0,7,0
28,10,0,EphesosB,14,17,3,5,8,0,0,4
28,10,2,RhodosA,7,23,-3,1,0,0,10,2
244,40,1,GizahA,15,25,12,9,0,0,3,5
244,40,2,EphesosB,8,24,-4,10,2,6,10,2
244,40,0,AlexandriaA,17,6,10,5,7,6,3,5
29,10,2,RhodosA,3,23,16,5,0,0,3,1
29,10,1,GizahB,9,14,2,1,1,11,8,3
29,10,0,EphesosB,14,14,0,2,5,6,0,4
105,20,1,GizahB,6,21,8,4,0,0,13,2
105,20,2,EphesosA,17,22,2,0,0,4,10,5
105,20,0,AlexandriaA,0,12,6,10,2,0,3,0
245,40,0,AlexandriaA,16,14,8,5,0,4,10,5
245,40,1,RhodosA,6,19,2,13,0,3,0,2
245,40,2,GizahB,0,22,2,10,0,4,0,0
154,20,0,GizahA,16,9,6,10,3,9,15,5
154,20,2,AlexandriaA,14,19,7,2,0,6,10,4
154,20,1,EphesosB,6,15,5,5,1,0,10,2
30,10,0,EphesosB,6,0,18,10,0,21,0,2
30,10,1,GizahA,3,23,0,5,3,0,8,1
30,10,2,AlexandriaB,0,27,0,5,0,5,0,0
106,20,0,EphesosA,5,8,18,5,2,14,3,1
106,20,1,RhodosA,14,29,-3,10,0,0,3,4
106,20,2,GizahB,1,14,-3,5,0,5,8,0
7,10,2,GizahB,15,19,0,4,4,0,20,5
7,10,0,AlexandriaA,20,10,14,13,7,0,0,6
7,10,1,EphesosA,6,12,2,9,0,7,10,2
107,20,1,EphesosA,11,21,3,0,0,12,10,3
107,20,0,AlexandriaA,11,17,4,21,0,0,0,3
107,20,2,RhodosB,4,17,9,13,2,0,0,1
115,20,0,EphesosB,5,18,6,10,1,5,0,1
115,20,1,GizahA,8,23,2,2,1,4,3,2
